text,label
"Этот фильм просто великолепный, мне очень понравилось",positive
"Отличный сервис и быстрая доставка",positive
"Прекрасный продукт, качество на высоте",positive
"Я очень доволен покупкой",positive
"Замечательная работа, всё супер",positive
"Мне понравился интерфейс и удобство использования",positive
"Это было потрясающе, рекомендую всем",positive
"Очень приятный опыт, спасибо",positive
"Система работает стабильно и быстро",positive
"Отличное решение для повседневных задач",positive
"Фильм ужасный и очень скучный",negative
"Очень плохой сервис, не советую",negative
"Качество отвратительное, всё сломалось",negative
"Я разочарован этой покупкой",negative
"Совсем не понравилось, пустая трата денег",negative
"Приложение постоянно вылетает и тормозит",negative
"Это был худший опыт за последнее время",negative
"Интерфейс неудобный и раздражающий",negative
"Поддержка не помогла решить проблему",negative
"Товар пришёл повреждённым",negative
"Сегодня обычный день без особых событий",neutral
"Я сходил в магазин и купил продукты",neutral
"Программа запускается в стандартном режиме",neutral
"Встреча назначена на завтра",neutral
"Погода на улице прохладная",neutral
"Документ был отправлен утром",neutral
"Это сообщение носит информационный характер",neutral
"Пользователь вошёл в систему",neutral
"Сервер обработал запрос",neutral
"На столе лежит книга",neutral
